,name,sex,year,times_compete
49,Kuo Hsingchun,F,2023,1
49,Kuo Hsingchun,F,2022,0
49,Kuo Hsingchun,F,2021,3
49,Kuo Hsingchun,F,2020,2
49,Kuo Hsingchun,F,2019,4
49,Kuo Hsingchun,F,2018,1
49,Kuo Hsingchun,F,2017,6
49,Kuo Hsingchun,F,2016,1
49,Kuo Hsingchun,F,2015,0
49,Kuo Hsingchun,F,2014,0
49,Kuo Hsingchun,F,2013,0
59,Mattie Rogers,F,2023,1
59,Mattie Rogers,F,2022,4
59,Mattie Rogers,F,2021,5
59,Mattie Rogers,F,2020,2
59,Mattie Rogers,F,2019,3
59,Mattie Rogers,F,2018,7
59,Mattie Rogers,F,2017,11
59,Mattie Rogers,F,2016,15
59,Mattie Rogers,F,2015,10
59,Mattie Rogers,F,2014,4
59,Mattie Rogers,F,2013,0
64,Morghan King,F,2023,0
64,Morghan King,F,2022,0
64,Morghan King,F,2021,0
64,Morghan King,F,2020,0
64,Morghan King,F,2019,0
64,Morghan King,F,2018,0
64,Morghan King,F,2017,2
64,Morghan King,F,2016,6
64,Morghan King,F,2015,3
64,Morghan King,F,2014,8
64,Morghan King,F,2013,0
65,Neisi Dajomes,F,2023,1
65,Neisi Dajomes,F,2022,2
65,Neisi Dajomes,F,2021,3
65,Neisi Dajomes,F,2020,0
65,Neisi Dajomes,F,2019,0
65,Neisi Dajomes,F,2018,3
65,Neisi Dajomes,F,2017,4
65,Neisi Dajomes,F,2016,1
65,Neisi Dajomes,F,2015,0
65,Neisi Dajomes,F,2014,0
65,Neisi Dajomes,F,2013,0
66,Angie Dajomes,F,2023,3
66,Angie Dajomes,F,2022,2
66,Angie Dajomes,F,2021,0
66,Angie Dajomes,F,2020,0
66,Angie Dajomes,F,2019,1
66,Angie Dajomes,F,2018,0
66,Angie Dajomes,F,2017,0
66,Angie Dajomes,F,2016,0
66,Angie Dajomes,F,2015,0
66,Angie Dajomes,F,2014,0
66,Angie Dajomes,F,2013,0
67,Lydia Valentín,F,2023,0
67,Lydia Valentín,F,2022,0
67,Lydia Valentín,F,2021,3
67,Lydia Valentín,F,2020,0
67,Lydia Valentín,F,2019,1
67,Lydia Valentín,F,2018,3
67,Lydia Valentín,F,2017,5
67,Lydia Valentín,F,2016,2
67,Lydia Valentín,F,2015,0
67,Lydia Valentín,F,2014,0
67,Lydia Valentín,F,2013,0
68,Rebeka Koha,F,2023,0
68,Rebeka Koha,F,2022,0
68,Rebeka Koha,F,2021,0
68,Rebeka Koha,F,2020,0
68,Rebeka Koha,F,2019,2
68,Rebeka Koha,F,2018,1
68,Rebeka Koha,F,2017,12
68,Rebeka Koha,F,2016,3
68,Rebeka Koha,F,2015,1
68,Rebeka Koha,F,2014,0
68,Rebeka Koha,F,2013,0
70,Mihaela Cambei,F,2023,4
70,Mihaela Cambei,F,2022,3
70,Mihaela Cambei,F,2021,2
70,Mihaela Cambei,F,2020,0
70,Mihaela Cambei,F,2019,0
70,Mihaela Cambei,F,2018,0
70,Mihaela Cambei,F,2017,2
70,Mihaela Cambei,F,2016,0
70,Mihaela Cambei,F,2015,0
70,Mihaela Cambei,F,2014,0
70,Mihaela Cambei,F,2013,0
71,Jourdan Delacruz,F,2023,2
71,Jourdan Delacruz,F,2022,1
71,Jourdan Delacruz,F,2021,2
71,Jourdan Delacruz,F,2020,2
71,Jourdan Delacruz,F,2019,2
71,Jourdan Delacruz,F,2018,7
71,Jourdan Delacruz,F,2017,1
71,Jourdan Delacruz,F,2016,7
71,Jourdan Delacruz,F,2015,2
71,Jourdan Delacruz,F,2014,0
71,Jourdan Delacruz,F,2013,0
78,Deng Wei,F,2023,0
78,Deng Wei,F,2022,0
78,Deng Wei,F,2021,0
78,Deng Wei,F,2020,2
78,Deng Wei,F,2019,5
78,Deng Wei,F,2018,0
78,Deng Wei,F,2017,0
78,Deng Wei,F,2016,3
78,Deng Wei,F,2015,0
78,Deng Wei,F,2014,0
78,Deng Wei,F,2013,0
81,Maddy Myers,F,2023,0
81,Maddy Myers,F,2022,0
81,Maddy Myers,F,2021,0
81,Maddy Myers,F,2020,0
81,Maddy Myers,F,2019,0
81,Maddy Myers,F,2018,0
81,Maddy Myers,F,2017,7
81,Maddy Myers,F,2016,5
81,Maddy Myers,F,2015,4
81,Maddy Myers,F,2014,0
81,Maddy Myers,F,2013,0
82,Tatiana Kashirina,F,2023,0
82,Tatiana Kashirina,F,2022,0
82,Tatiana Kashirina,F,2021,0
82,Tatiana Kashirina,F,2020,0
82,Tatiana Kashirina,F,2019,0
82,Tatiana Kashirina,F,2018,0
82,Tatiana Kashirina,F,2017,0
82,Tatiana Kashirina,F,2016,0
82,Tatiana Kashirina,F,2015,2
82,Tatiana Kashirina,F,2014,0
82,Tatiana Kashirina,F,2013,0
